street_name,city,state,latitude,longitude,price,bedroom_number,bathroom_number,square_meter,population
Stonegate Cir #104,Anchorage,AK,61.13296,-149.9164,235000,2,1,108,"248,902"
Molanary Dr UNIT 15,Anchorage,AK,61.142616,-149.94997,125000,2,1,78,"248,902"
W International Airport Rd #E-103,Anchorage,AK,61.174423,-149.93524,178000,2,2,95,"248,902"
Commons Pl,Anchorage,AK,61.13638,-149.942,265000,3,2,124,"248,902"
Huntsmen Cir APT F,Anchorage,AK,61.154243,-149.88481,180000,2,2,69,"248,902"
W Dimond Blvd UNIT 309,Anchorage,AK,61.13734,-149.9458,159000,2,1,78,"248,902"
Roald Amundsen Ave #A,Anchorage,AK,61.18503,-149.95459,424900,3,3,158,"248,902"
Huntsmen Cir #14-D,Anchorage,AK,61.155445,-149.88478,170000,2,2,69,"248,902"
W International Airport Rd #E102,Anchorage,AK,61.174423,-149.93524,190000,2,2,95,"248,902"
Stonegate Cir,Anchorage,AK,61.133633,-149.91519,255000,3,2,111,"248,902"
Discovery View Dr APT 105,Anchorage,AK,61.11734,-149.9321,290000,2,2,96,"248,902"
Constellation Ave UNIT 52,Anchorage,AK,61.18097,-149.95001,205000,2,2,80,"248,902"
McRae Rd,Anchorage,AK,61.185745,-149.92569,99000,2,1,90,"248,902"
Canton Loop #162,Anchorage,AK,61.134064,-149.91682,250000,3,2,108,"248,902"
Discovery Park Dr,Anchorage,AK,61.11576,-149.93002,410000,3,3,198,"248,902"
Discovery Park Dr #12B,Anchorage,AK,61.11718,-149.93318,415000,3,3,177,"248,902"
Moorland St #7B,Anchorage,AK,61.143818,-149.9552,325000,2,2,135,"248,902"
Jewel Lake Rd UNIT 5,Anchorage,AK,61.143543,-149.9516,155000,2,2,99,"248,902"
Huntsmen Cir #8-F,Jeffersontown,AK,61.153572,-149.88489,170000,2,2,69,"27,933"
Harbor Landing Cir,Anchorage,AK,61.126965,-149.9233,410000,3,3,199,"248,902"
W 76th Ave APT 205,Anchorage,AK,61.151814,-149.88902,165000,2,1,84,"248,902"
W Dimond Blvd UNIT 403,Anchorage,AK,61.13734,-149.9458,168000,2,1,78,"248,902"
W Tanya May Ln #3B,Wasilla,AK,61.531242,-149.83794,425000,2,3,116,"10,469"
W Compass Dr #20,Wasilla,AK,61.522972,-149.61441,138000,3,2,120,"10,469"
W 53rd Ave #1A,Anchorage,AK,61.17245,-149.89838,294900,3,2,179,"248,902"
Weimer Rd APT 16,Anchorage,AK,61.155804,-149.94989,110000,2,1,94,"248,902"
N Star St APT 1,Anchorage,AK,61.20083,-149.9007,259900,2,2,125,"248,902"
Potlatch Cir #34,Anchorage,AK,61.2017,-149.90161,369900,3,2,169,"248,902"
Eastridge Dr APT 102,Anchorage,AK,61.20458,-149.84189,122500,2,1,84,"248,902"
W 23rd Ave APT 12,Anchorage,AK,61.19971,-149.89903,125000,2,1,78,"248,902"
Nelchina St APT C5,Anchorage,AK,61.20643,-149.85587,189000,2,2,114,"248,902"
Denali St UNIT 134,Anchorage,AK,61.21099,-149.87767,160000,2,2,84,"248,902"
E 7th Ave APT 304,Anchorage,AK,61.21532,-149.87993,509900,2,3,132,"248,902"
E 7th Ave APT 210,Anchorage,AK,61.215862,-149.88034,128000,1,1,67,"248,902"
Denali St APT 309,Anchorage,AK,61.21067,-149.87686,165000,1,1,62,"248,902"
Eastridge Dr APT 303,Anchorage,AK,61.205162,-149.84402,140000,2,1,81,"248,902"
Montclaire Ct #17-D,Anchorage,AK,61.190655,-149.8947,219900,3,2,126,"248,902"
Juneau St APT 6,Anchorage,AK,61.212906,-149.86458,150000,3,2,118,"248,902"
G St #3,Anchorage,AK,61.20658,-149.89494,519000,3,2,145,"248,902"
E 14th Ave APT 11,Anchorage,AK,61.208973,-149.87817,169900,2,2,91,"248,902"
Nelchina St APT A5,Anchorage,AK,61.206623,-149.85645,260000,3,3,157,"248,902"
E 11th Ave #315,Anchorage,AK,61.21133,-149.87868,110000,1,1,65,"248,902"
Denali St APT 338,Anchorage,AK,61.21099,-149.87767,172000,1,1,78,"248,902"
E 11th Ave UNIT 224,Anchorage,AK,61.211372,-149.87787,167000,2,2,86,"248,902"
Sitka St #14102,Anchorage,AK,61.2055,-149.84546,149000,2,1,80,"248,902"
Monticello Ct #8-G,Anchorage,AK,61.190582,-149.89128,217500,2,2,116,"248,902"
E 7th Ave APT 103,Anchorage,AK,61.21532,-149.87993,509900,2,3,132,"248,902"
W 22nd Ave #104,Anchorage,AK,61.20091,-149.88617,204900,2,2,92,"248,902"
E 17th Ave APT 11,Anchorage,AK,61.205196,-149.8551,150000,1,2,76,"248,902"
I St UNIT 503,Anchorage,AK,61.21068,-149.89989,225000,2,2,111,"248,902"
W 22nd Ave #201,Anchorage,AK,61.20091,-149.88585,216000,2,2,99,"248,902"
N Star St APT 10,Anchorage,AK,61.20083,-149.9007,260000,2,2,125,"248,902"
E 14th Ave APT 6,Anchorage,AK,61.208973,-149.87817,100700,2,1,70,"248,902"
Montpelier Ct #9-A,Anchorage,AK,61.1912,-149.89127,219900,2,2,116,"248,902"
Latouche St #2,Anchorage,AK,61.20855,-149.86044,355000,3,4,180,"248,902"
E 12th Ave APT 3,Anchorage,AK,61.210938,-149.8655,119000,3,3,122,"248,902"
I St UNIT 615,Anchorage,AK,61.21068,-149.89989,370000,2,2,104,"248,902"
Potlatch Cir #33,Anchorage,AK,61.2017,-149.90158,354900,3,2,169,"248,902"
E 12th Ave #245,Anchorage,AK,61.210808,-149.87889,135000,1,1,65,"248,902"
Top Rail Ln #B9,Anchorage,AK,61.22063,-149.89694,699900,2,3,158,"248,902"
Top Rail Ln #B7,Anchorage,AK,61.2207,-149.89656,702000,2,3,158,"248,902"
Top Rail Ln #B5,Anchorage,AK,61.221798,-149.88705,699900,2,3,158,"248,902"
Top Rail Ln #B8,Anchorage,AK,61.22066,-149.89677,702900,2,3,158,"248,902"
I St UNIT 213,Anchorage,AK,61.21036,-149.90125,345000,2,2,98,"248,902"
E 16th Ave APT 4,Anchorage,AK,61.20605,-149.8606,245900,2,2,172,"248,902"
Denali St #1B,Anchorage,AK,61.180126,-149.87733,219000,4,2,143,"248,902"
E 17th Ave APT 16,Anchorage,AK,61.205196,-149.8551,139900,2,2,76,"248,902"
Dailey Ave #E-24,Anchorage,AK,61.110565,-149.87357,190000,2,2,87,"248,902"
Bona Kim Loop #4,Anchorage,AK,61.10677,-149.8578,347900,3,3,171,"248,902"
Dailey Ave UNIT D3,Anchorage,AK,61.11097,-149.87523,210000,3,2,105,"248,902"
Ocean Point Dr #97,Anchorage,AK,61.111748,-149.87396,275000,3,2,116,"248,902"
Pacific Pl #2,Anchorage,AK,61.21602,-149.90623,429900,2,3,124,"248,902"
Woodroe Ln #12,Anchorage,AK,61.16831,-149.85173,272500,3,2,127,"248,902"
L St APT 805,Anchorage,AK,61.21715,-149.9043,789900,2,2,151,"248,902"
Lumbis Ave UNIT B2,Anchorage,AK,61.15152,-149.8676,239000,2,2,95,"248,902"
Meadow St #6F,Anchorage,AK,61.15297,-149.85172,235000,4,2,126,"248,902"
E 56th Ave #1-C,Anchorage,AK,61.16988,-149.87497,182500,2,2,69,"248,902"
Abbington Ct #68,Anchorage,AK,61.176567,-149.86269,240000,2,2,90,"248,902"
Huntsmen Cir APT E,Anchorage,AK,61.1553,-149.88428,135000,2,2,69,"248,902"
Fairweather Dr #4A-3-2,Anchorage,AK,61.16327,-149.87207,280000,2,3,147,"248,902"
Meadow St #10A,Anchorage,AK,61.154484,-149.85172,225000,2,2,102,"248,902"
E 73rd Ave,Anchorage,AK,61.154392,-149.86992,439900,3,3,159,"248,902"
W 7th Ave APT 301,Anchorage,AK,61.21545,-149.90778,396000,2,2,106,"248,902"
Romig Pl APT 208,Anchorage,AK,61.20056,-149.90974,133000,1,1,58,"248,902"
E 76th Ave APT 2,Anchorage,AK,61.151814,-149.87283,300000,3,3,161,"248,902"
O St APT 1,Anchorage,AK,61.2154,-149.90953,370000,2,2,106,"248,902"
Chugach Meadows Loop #D12,Anchorage,AK,61.154293,-149.85236,224900,2,2,102,"248,902"
Meadow St #3-201,Anchorage,AK,61.15765,-149.85184,220000,2,2,93,"248,902"
Meadow St,Anchorage,AK,61.153324,-149.85172,205000,3,2,103,"248,902"
E 17th Ave APT 9,Anchorage,AK,61.205196,-149.8551,114000,1,2,75,"248,902"
I St UNIT 813,Anchorage,AK,61.21068,-149.89989,835000,2,2,192,"248,902"
Dailey Ave,Anchorage,AK,61.110283,-149.87604,350000,3,3,153,"248,902"
Pheasant Ave #1,Homer,AK,59.715946,-151.30392,375000,2,2,116,"5,830"
Bay Ave #1,Homer,AK,59.638847,-151.50467,279000,4,2,117,"5,830"
Auk St APT E5,Kenai,AK,60.559788,-151.20656,99000,3,3,127,"7,799"
Hightower Rd APT 403,Girdwood,AK,60.9629,-149.1336,375000,1,1,75,"1,037"
Crystal Mountain Rd APT 411,Girdwood,AK,60.961185,-149.10796,380000,1,1,61,"1,037"
Hightower Rd #B-301,Girdwood,AK,60.965008,-149.13211,489500,2,2,102,"1,037"
Bowpicker Ln #1B,Kenai,AK,60.532593,-151.25813,769999,3,3,265,"7,799"
Bowpicker Ln #2A,Kenai,AK,60.532593,-151.25813,659999,3,4,210,"7,799"
Powder Dr #9,Girdwood,AK,60.9587,-149.11517,799000,3,3,197,"1,037"
Powder Dr #8,Girdwood,AK,60.958702,-149.1152,799000,3,3,197,"1,037"
Hightower Rd #C-102,Girdwood,AK,60.965393,-149.13089,449999,2,2,92,"1,037"
Powder Dr,Girdwood,AK,60.958748,-149.11449,799000,3,3,197,"1,037"
Powder Dr #7,Girdwood,AK,60.958702,-149.11542,799000,3,3,197,"1,037"
Powder Dr #6,Girdwood,AK,60.958702,-149.11537,799000,3,3,197,"1,037"
Powder Dr #5,Girdwood,AK,60.958706,-149.11467,799000,3,3,197,"1,037"
Alyeska Hwy #1,Girdwood,AK,60.95834,-149.15201,715000,3,3,158,"1,037"
Ocean Point Dr,Anchorage,AK,61.1117,-149.87154,219900,2,2,90,"248,902"
Johns Rd #3,Anchorage,AK,61.11212,-149.87848,490000,3,3,175,"248,902"
Fairweather Dr,Anchorage,AK,61.15952,-149.87268,299900,3,3,138,"248,902"
Merlin Loop #B-3,Anchorage,AK,61.15906,-149.86743,255000,3,2,122,"248,902"
Denali St #C-A,Anchorage,AK,61.16876,-149.87663,175000,2,2,74,"248,902"
E 76th Ave APT 1,Anchorage,AK,61.151814,-149.87315,355500,3,3,152,"248,902"
Meadow St,Anchorage,AK,61.15312,-149.85216,238000,4,2,124,"248,902"
Fairweather Park Loop #14A,Anchorage,AK,61.159184,-149.87299,285000,3,2,137,"248,902"
Mountainman Loop,Anchorage,AK,61.169495,-149.85144,313000,3,2,127,"248,902"
Meadow St,Anchorage,AK,61.153175,-149.85115,209500,2,2,95,"248,902"
P St #7,Anchorage,AK,61.212074,-149.91203,140000,2,1,65,"248,902"
Wildrose Ct #1108,Anchorage,AK,61.160007,-149.87057,155000,2,2,103,"248,902"
Pacific Pl #7,Anchorage,AK,61.216293,-149.90623,499000,2,2,111,"248,902"
W 12th Ave #1406,Anchorage,AK,61.21054,-149.91057,395000,2,2,157,"248,902"
Foxridge Cir #E-2,Anchorage,AK,61.15614,-149.88019,265000,3,2,133,"248,902"
E 56th Ave #1-B,Anchorage,AK,61.16988,-149.87497,165000,2,1,69,"248,902"
E Dowling Rd APT 3,Anchorage,AK,61.166065,-149.87636,285000,3,3,155,"248,902"
Fairweather Park Loop #49,Anchorage,AK,61.15934,-149.87286,330000,3,3,168,"248,902"
W Airigin Dr,Wasilla,AK,61.560387,-149.7977,420000,3,2,197,"10,469"
Spenard Rd #4,Anchorage,AK,61.203285,-149.90579,599900,3,3,242,"248,902"
M St APT 211,Anchorage,AK,61.21833,-149.90546,263000,1,2,113,"248,902"
Merlin Loop #A3,Anchorage,AK,61.159218,-149.86533,224900,3,2,120,"248,902"
Marsha Loop,Anchorage,AK,61.14745,-149.83134,319500,3,3,136,"248,902"
Independence Dr UNIT B308,Anchorage,AK,61.133038,-149.84172,155000,2,1,71,"248,902"
Jamestown Dr #5F,Anchorage,AK,61.129005,-149.84492,169000,1,1,59,"248,902"
Elcadore Dr #112,Anchorage,AK,61.123444,-149.85248,234500,3,3,111,"248,902"
Obrien St #9A,Anchorage,AK,61.15815,-149.83575,259000,3,2,136,"248,902"
Silver Chase Ct #18,Anchorage,AK,61.16677,-149.82791,260000,3,2,129,"248,902"
E 73rd Ave #8,Anchorage,AK,61.154564,-149.84389,319900,3,2,133,"248,902"
Zion Ct #18,Anchorage,AK,61.15342,-149.83531,421000,4,3,214,"248,902"
Folker St APT 22A,Anchorage,AK,61.1795,-149.82962,95000,1,1,59,"248,902"
E 73rd Ave,Anchorage,AK,61.154564,-149.84407,249000,2,2,133,"248,902"
Elcadore Dr #116,Anchorage,AK,61.12342,-149.8533,197500,2,2,91,"248,902"
Piper St APT 14,Anchorage,AK,61.17878,-149.82391,225000,3,2,94,"248,902"
Marsha Loop #33,Anchorage,AK,61.14745,-149.83134,342000,3,3,137,"248,902"
Vanguard Dr APT 19,Anchorage,AK,61.132484,-149.8464,150000,2,1,76,"248,902"
Laurel St,Anchorage,AK,61.165894,-149.83394,275000,3,2,129,"248,902"
Jamestown Dr #406,Anchorage,AK,61.128567,-149.845,159000,2,1,68,"248,902"
Marsha Loop #11,Anchorage,AK,61.14745,-149.83134,319999,3,2,137,"248,902"
E 20th Ave,Anchorage,AK,61.20273,-149.81732,270000,2,1,87,"248,902"
Reka Dr APT A1,Anchorage,AK,61.20402,-149.80585,135000,2,2,99,"248,902"
E 20th Ave #A-73,Anchorage,AK,61.202625,-149.80672,155900,2,2,87,"248,902"
Reka Dr APT M5,Anchorage,AK,61.20402,-149.8033,165000,3,2,131,"248,902"
E 42nd Ave APT B201,Anchorage,AK,61.18219,-149.82979,165000,2,2,74,"248,902"
Jamestown Dr #905,Anchorage,AK,61.128227,-149.84563,159000,2,1,68,"248,902"
Bragaw Square Pl #45,Anchorage,AK,61.203224,-149.80942,199900,3,2,125,"248,902"
E 42nd Ave APT 201,Anchorage,AK,61.182777,-149.82567,165000,2,2,83,"248,902"
Folker St APT C202,Anchorage,AK,61.181347,-149.83098,165000,2,2,75,"248,902"
E 42nd Ave APT 306,Anchorage,AK,61.182777,-149.8254,155000,2,2,83,"248,902"
Alexander Ave,Anchorage,AK,61.203083,-149.81558,250000,2,2,84,"248,902"
Synergy Ln #9,Anchorage,AK,61.15059,-149.82721,380000,3,3,151,"248,902"
Grumman St,Anchorage,AK,61.177357,-149.8214,365000,3,3,163,"248,902"
Marsha Loop,Anchorage,AK,61.14745,-149.83134,309900,3,2,133,"248,902"
Lauren Creek Loop,Anchorage,AK,61.173,-149.8338,275000,3,2,127,"248,902"
E 20th Ave #B-43,Anchorage,AK,61.202625,-149.80637,144500,2,2,88,"248,902"
Lumbis Ave APT 3,Anchorage,AK,61.149925,-149.8681,190000,2,2,111,"248,902"
Wright St APT 24,Anchorage,AK,61.17973,-149.82755,89500,2,1,77,"248,902"
Lumbis Ave APT 4,Anchorage,AK,61.149925,-149.8681,195000,2,1,141,"248,902"
Vanguard Dr APT 58,Anchorage,AK,61.132656,-149.84724,164000,2,1,77,"248,902"
E 20th Ave #A-40,Anchorage,AK,61.202625,-149.80629,148000,2,2,88,"248,902"
E 20th Ave #C-47,Anchorage,AK,61.202625,-149.80644,134900,2,2,87,"248,902"
E 73rd Ave,Anchorage,AK,61.154564,-149.84404,239900,3,2,134,"248,902"
Meadow Lark Way,Anchorage,AK,61.165085,-149.83199,229000,2,2,98,"248,902"
E Weile Ave APT 4,Spokane,WA,47.72264,-117.40407,200000,2,1,74,"426,849"
Tanglewood Lakes Cir,Anchorage,AK,61.116356,-149.85414,495000,3,3,214,"248,902"
Jamestown Dr #F-502,Anchorage,AK,61.12785,-149.84373,125900,2,1,68,"248,902"
Hollybrook Cir #20,Anchorage,AK,61.12635,-149.85045,364900,3,3,161,"248,902"
Elcadore Dr #132,Anchorage,AK,61.123905,-149.85213,229000,3,3,110,"248,902"
Boundary Ave #H-2,Anchorage,AK,61.22404,-149.7371,185000,2,1,91,"248,902"
E 41st Ct #114,Anchorage,AK,61.183853,-149.76364,270000,3,2,160,"248,902"
Northview Dr UNIT J6,Anchorage,AK,61.208073,-149.72768,149000,2,1,94,"248,902"
