street_name,city,state,latitude,longitude,price,bedroom_number,bathroom_number,square_meter,population
Douglas Ave,Newberg,OR,45.312534,-122.9493,285000,3,2,101,"23,676"
Tusitala St APT 2006,Honolulu,HI,21.277178,-157.82178,239000,2,1,75,"834,138"
Ohua Ave #1110-II,Honolulu,HI,21.27477,-157.82108,518000,1,1,50,"834,138"
Makee Rd APT 5B,Honolulu,HI,21.272696,-157.81993,375000,2,2,93,"834,138"
Ohua Ave #T1-2212,Honolulu,HI,21.27477,-157.82108,568000,1,1,50,"834,138"
Ala Wai Blvd APT 802,Honolulu,HI,21.276068,-157.81982,530000,2,2,92,"834,138"
Ohua Ave #1911-I,Honolulu,HI,21.27477,-157.82108,599000,1,1,50,"834,138"
Cleghorn St APT 1901,Honolulu,HI,21.277737,-157.82307,600000,1,1,64,"834,138"
Paoakalani Ave #3106,Honolulu,HI,21.274313,-157.82071,680000,1,1,50,"834,138"
Ala Wai Blvd APT 1504,Honolulu,HI,21.27822,-157.82259,460000,2,1,70,"834,138"
Snowberry Ridge Ct,West Linn,OR,45.35336,-122.656975,339900,2,2,125,"26,764"
Ohua Ave APT 1104D,Honolulu,HI,21.276016,-157.82014,599000,2,2,89,"834,138"
Ala Wai Blvd APT 906,Honolulu,HI,21.274902,-157.8185,439000,1,1,60,"834,138"
N Meridian St APT 10,Newberg,OR,45.307735,-122.96989,225000,2,1,97,"23,676"
Ohua Ave APT 601A,Honolulu,HI,21.276016,-157.82014,480000,1,1,67,"834,138"
Seaside Ave APT 503,Honolulu,HI,21.280676,-157.82602,410000,1,1,63,"834,138"
Mott Smith Dr APT 2704,Honolulu,HI,21.308634,-157.83736,425000,1,1,60,"834,138"
Pualei Cir APT 206,Honolulu,HI,21.266277,-157.8149,550000,1,1,56,"834,138"
Ala Wai Blvd APT 1201,Honolulu,HI,21.274899,-157.81848,430000,1,1,56,"834,138"
S Ohua Ave #2206-2,Honolulu,HI,21.27477,-157.82108,690000,1,1,50,"834,138"
Seaside Ave APT 609,Honolulu,HI,21.280676,-157.82602,410000,1,1,68,"834,138"
Isenberg St APT 15A,Honolulu,HI,21.291061,-157.82692,510000,2,1,67,"834,138"
Heulu St APT 1501,Honolulu,HI,21.306963,-157.83585,725000,3,3,160,"834,138"
Wai Nani Way APT 1216,Honolulu,HI,21.275143,-157.81955,499999,1,1,53,"834,138"
Kanunu St PENTHOUSE 5,Honolulu,HI,21.294899,-157.83948,739000,2,2,101,"834,138"
S River St,Newberg,OR,45.29196,-122.96962,389000,3,3,141,"23,676"
Lewers St #1105,Honolulu,HI,21.28238,-157.82808,499000,1,1,63,"834,138"
Wai Nani Way #215,Honolulu,HI,21.27514,-157.81955,180000,1,1,53,"834,138"
Tusitala St APT 805,Honolulu,HI,21.277178,-157.82178,385000,1,1,61,"834,138"
Kalakaua Ave #1209,Honolulu,HI,21.298752,-157.83728,420000,1,1,54,"834,138"
Ala Wai Blvd APT 401,Honolulu,HI,21.277328,-157.82127,699000,2,2,141,"834,138"
Keeaumoku St APT 701,Honolulu,HI,21.302103,-157.83914,499000,3,2,106,"834,138"
Paoakalani Ave #2308,Honolulu,HI,21.274313,-157.82071,530000,1,1,50,"834,138"
Ala Moana Blvd APT 809,Honolulu,HI,21.2852,-157.83589,320000,2,2,110,"834,138"
Kalakaua Ave APT 1902,Honolulu,HI,21.2878,-157.8337,995000,2,2,122,"834,138"
Springtree Ln,West Linn,OR,45.352985,-122.658875,379000,2,2,119,"26,764"
Ala Wai Blvd APT 1003,Honolulu,HI,21.28382,-157.82877,405000,1,1,49,"834,138"
Hobron Ln APT 711,Honolulu,HI,21.287024,-157.83669,445000,1,1,51,"834,138"
Kapiolani Blvd APT 3104,Honolulu,HI,21.291681,-157.83958,699000,1,1,67,"834,138"
Alexander St APT 1104,Honolulu,HI,21.298222,-157.83209,430000,2,1,56,"834,138"
Dole St APT 1005,Honolulu,HI,21.30118,-157.83287,486000,2,2,75,"834,138"
Hobron Ln APT 1203,Honolulu,HI,21.28688,-157.83582,244000,1,1,63,"834,138"
Kalakaua Ave APT 1004,Honolulu,HI,21.299181,-157.83699,620000,2,1,66,"834,138"
Kalakaua Ave APT 2503,Honolulu,HI,21.28638,-157.8337,469000,1,1,51,"834,138"
Kaheka St APT 2803,Honolulu,HI,21.29667,-157.83868,475000,1,1,56,"834,138"
Kalakaua Ave APT 2006,Honolulu,HI,21.28638,-157.8337,480000,1,1,51,"834,138"
Kewalo St APT 1102,Honolulu,HI,21.30751,-157.83629,445000,2,1,68,"834,138"
Young St APT 1705,Honolulu,HI,21.299212,-157.8383,330000,1,1,49,"834,138"
Punahou St APT 2706,Honolulu,HI,21.298918,-157.83537,720000,2,2,130,"834,138"
Kahakai Dr APT 1505,Honolulu,HI,21.288721,-157.83797,450000,1,1,51,"834,138"
Punahou St APT 1806,Honolulu,HI,21.298918,-157.83537,715000,2,2,144,"834,138"
Kuhio Ave APT 1705,Honolulu,HI,21.28339,-157.83022,425000,1,1,52,"834,138"
Makaleka Ave APT 203,Honolulu,HI,21.281504,-157.8154,415000,2,1,63,"834,138"
Ohua Ave #1812,Honolulu,HI,21.27477,-157.82108,585000,1,1,50,"834,138"
Tusitala St APT 1705,Honolulu,HI,21.277178,-157.82178,415000,1,1,61,"834,138"
Paoakalani Ave #2808,Honolulu,HI,21.274313,-157.82071,670000,1,1,50,"834,138"
Ohua Avenue #PH I,Honolulu,HI,21.275839,-157.82098,689000,1,1,94,"834,138"
Tusitala St APT 803,Honolulu,HI,21.27755,-157.82268,298000,1,1,63,"834,138"
Tusitala St APT 902,Honolulu,HI,21.277178,-157.82178,505000,2,1,78,"834,138"
Ohua Ave,Honolulu,HI,21.274752,-157.82135,720000,1,1,54,"834,138"
Ohua Ave APT 10B,Honolulu,HI,21.275824,-157.82098,509900,2,2,107,"834,138"
Liliuokalani Ave APT 2305,Honolulu,HI,21.277105,-157.82101,440000,2,1,64,"834,138"
Ohua Ave #2301-1,Honolulu,HI,21.27477,-157.82108,645000,1,1,50,"834,138"
Kuhio Ave APT 804,Honolulu,HI,21.276485,-157.82307,465000,2,2,92,"834,138"
Ohua Ave #2501-1,Honolulu,HI,21.27477,-157.82108,570000,1,1,50,"834,138"
Pualei Cir APT 107,Honolulu,HI,21.266144,-157.81537,899000,1,1,54,"834,138"
Kuhio Ave APT 904,Honolulu,HI,21.27234,-157.8207,390000,2,2,82,"834,138"
Ohua Ave #2507,Honolulu,HI,21.27477,-157.82108,570000,1,1,50,"834,138"
Kalakaua Ave APT 2104,Honolulu,HI,21.275045,-157.824,800000,2,2,101,"834,138"
Ohua Ave APT 1A,Honolulu,HI,21.27584,-157.821,599999,2,2,99,"834,138"
Paoakalani Ave #3509,Honolulu,HI,21.274313,-157.82071,580000,1,1,51,"834,138"
Liliuokalani Ave #2402,Honolulu,HI,21.277105,-157.82101,519000,2,1,64,"834,138"
Tusitala St APT 901,Honolulu,HI,21.277178,-157.82178,515000,2,2,71,"834,138"
Ohua Ave #T1-1503,Honolulu,HI,21.27477,-157.82108,599000,1,1,50,"834,138"
Ohua Ave #1603-1,Honolulu,HI,21.27477,-157.82108,609000,1,1,50,"834,138"
Kuhio Ave APT 702,Honolulu,HI,21.276485,-157.82307,467000,2,2,90,"834,138"
Kalakaua Ave APT 1207,Honolulu,HI,21.2878,-157.8337,750000,2,2,105,"834,138"
Cleghorn St APT 3001,Honolulu,HI,21.277737,-157.82307,600000,1,1,56,"834,138"
Ala Moana Blvd APT 451,Honolulu,HI,21.286772,-157.83957,575000,2,1,69,"834,138"
Ohua Ave #1206-2,Honolulu,HI,21.27477,-157.82108,568000,1,1,50,"834,138"
Ala Wai Blvd APT 1717,Honolulu,HI,21.279745,-157.82419,559000,2,2,67,"834,138"
Liliuokalani Ave APT 1903,Honolulu,HI,21.277105,-157.82101,525000,2,1,77,"834,138"
Ohua Ave #3303-1,Honolulu,HI,21.27477,-157.82108,640000,1,1,50,"834,138"
Kanunu St APT 1507,Honolulu,HI,21.294588,-157.83871,460000,2,1,74,"834,138"
Pualani Way APT 805,Honolulu,HI,21.274206,-157.81927,650000,1,1,79,"834,138"
Ala Moana Blvd APT 901,Honolulu,HI,21.2852,-157.83589,290000,2,2,109,"834,138"
Lime St APT 702,Honolulu,HI,21.289858,-157.83156,359000,1,1,56,"834,138"
Ohua Ave #3013-T2,Honolulu,HI,21.27477,-157.82108,171800,1,1,55,"834,138"
Cleghorn St APT 1504,Honolulu,HI,21.277737,-157.82307,456000,1,1,63,"834,138"
Liholiho St APT 1902,Honolulu,HI,21.307016,-157.83812,389000,1,1,51,"834,138"
Kapiolani Blvd APT 101,Honolulu,HI,21.28723,-157.82571,495000,2,1,68,"834,138"
Seaside Ave APT 802,Honolulu,HI,21.280676,-157.82602,400000,1,1,58,"834,138"
Kalakaua Ave APT 2110,Honolulu,HI,21.287563,-157.83466,980000,2,2,88,"834,138"
Paoakalani Ave #907,Honolulu,HI,21.274313,-157.82071,450000,1,1,51,"834,138"
Wilder Ave APT 2501,Honolulu,HI,21.305851,-157.8394,400000,1,1,50,"834,138"
Aloha Dr APT 504,Honolulu,HI,21.28194,-157.82697,520000,2,2,76,"834,138"
Liholiho St APT 1503,Honolulu,HI,21.306507,-157.83867,370000,2,1,61,"834,138"
Makiki St APT 402,Honolulu,HI,21.302702,-157.83528,618000,2,2,129,"834,138"
Kewalo St APT 203,Honolulu,HI,21.303696,-157.83899,425000,1,2,74,"834,138"
Ala Wai Blvd APT 2408,Honolulu,HI,21.287926,-157.83546,660000,2,2,86,"834,138"
Ohua Ave #911,Honolulu,HI,21.27477,-157.82108,560000,1,1,50,"834,138"
Kaheka St APT 903,Honolulu,HI,21.29667,-157.83868,459000,1,1,56,"834,138"
Piikoi St APT 401,Honolulu,HI,21.307467,-157.84015,300000,1,1,52,"834,138"
Paoakalani Ave #906,Honolulu,HI,21.274313,-157.82071,449000,1,1,50,"834,138"
Ohua Ave #1912,Honolulu,HI,21.27477,-157.82108,565000,1,1,50,"834,138"
SE Brookwood Ave APT 209,Hillsboro,OR,45.50226,-122.92931,240000,2,2,80,"108,026"
Kalakaua Ave APT 1003,Honolulu,HI,21.275045,-157.824,700000,2,2,95,"834,138"
Kalakaua Ave APT 3303,Honolulu,HI,21.275045,-157.824,900000,2,2,95,"834,138"
Ohua Ave #1214,Honolulu,HI,21.27477,-157.82108,620000,1,1,55,"834,138"
Paoakalani Ave #2413,Honolulu,HI,21.274313,-157.82071,655000,2,1,56,"834,138"
Kapahulu Ave APT 304,Honolulu,HI,21.272087,-157.82063,800000,2,2,94,"834,138"
Liliuokalani Ave APT 1203,Honolulu,HI,21.277105,-157.82101,499000,2,1,77,"834,138"
Ala Wai Blvd APT 501,Honolulu,HI,21.276846,-157.82043,335999,1,2,50,"834,138"
Paoakalani Ave #2111,Honolulu,HI,21.274313,-157.82071,438000,1,1,51,"834,138"
Spreckels St APT 307,Honolulu,HI,21.30202,-157.83235,379000,2,1,68,"834,138"
Nahua St APT 1104,Honolulu,HI,21.280218,-157.82489,350000,1,1,49,"834,138"
Makiki St APT 205,Honolulu,HI,21.30498,-157.83438,450000,2,1,72,"834,138"
Liliuokalani Ave APT 603,Honolulu,HI,21.27635,-157.821,419000,2,2,82,"834,138"
Makiki St #B103,Honolulu,HI,21.301235,-157.83734,335000,2,1,60,"834,138"
Hobron Ln APT 2705,Honolulu,HI,21.28688,-157.83582,325000,1,1,63,"834,138"
Heulu St APT 102,Honolulu,HI,21.306908,-157.83682,285000,3,2,128,"834,138"
Liliuokalani Ave APT 1702,Honolulu,HI,21.277105,-157.82101,498000,2,1,64,"834,138"
Lewers St #2701,Honolulu,HI,21.282408,-157.82808,675000,2,2,90,"834,138"
Tusitala St APT 1609,Honolulu,HI,21.277178,-157.82178,410000,1,1,55,"834,138"
Hobron Ln APT 2806,Honolulu,HI,21.287024,-157.83669,485000,1,1,52,"834,138"
Kalakaua Ave APT 2002,Honolulu,HI,21.275045,-157.824,750000,2,2,95,"834,138"
Kuhio Ave APT 1808,Honolulu,HI,21.280655,-157.82732,215000,1,1,50,"834,138"
University Ave APT 3503,Honolulu,HI,21.28667,-157.82666,495000,1,1,64,"834,138"
Atkinson Dr APT 1604,Honolulu,HI,21.289785,-157.83813,400000,1,1,54,"834,138"
Tusitala St APT 1701,Honolulu,HI,21.277178,-157.82178,220000,2,2,71,"834,138"
Kalakaua Ave APT 412,Honolulu,HI,21.299181,-157.83699,735000,2,2,79,"834,138"
Niu St APT 3203,Honolulu,HI,21.286964,-157.83273,537000,1,2,49,"834,138"
Kalakaua Ave APT 3803,Honolulu,HI,21.291344,-157.83557,245000,3,2,112,"834,138"
Paoakalani Ave #1103,Honolulu,HI,21.274313,-157.82071,455000,1,1,51,"834,138"
Paoakalani Ave #3602,Honolulu,HI,21.274313,-157.82071,710000,1,1,50,"834,138"
Makiki St APT 702,Honolulu,HI,21.305635,-157.8335,695000,4,2,214,"834,138"
Ohua Ave #1614,Honolulu,HI,21.27477,-157.82108,650000,1,1,55,"834,138"
Ala Wai Blvd APT 1005,Honolulu,HI,21.274902,-157.8185,260000,1,1,56,"834,138"
Hobron Ln APT 2303,Honolulu,HI,21.28688,-157.83582,560000,1,1,63,"834,138"
Tusitala St APT 1602,Honolulu,HI,21.277178,-157.82178,232000,2,1,78,"834,138"
Ala Wai Blvd APT 404,Honolulu,HI,21.285442,-157.83055,640000,2,2,83,"834,138"
Keeaumoku St #3807,Honolulu,HI,21.293802,-157.8418,895000,1,1,61,"834,138"
Paoakalani Ave #2712,Honolulu,HI,21.274313,-157.82071,565000,1,1,50,"834,138"
Kanunu St APT 701,Honolulu,HI,21.294708,-157.83997,545000,2,2,101,"834,138"
Kanunu St APT 201,Honolulu,HI,21.293633,-157.83743,388000,2,1,65,"834,138"
Mott Smith Dr APT 614,Honolulu,HI,21.308634,-157.83736,659000,3,2,108,"834,138"
Ala Wai Blvd #P7,Honolulu,HI,21.282505,-157.827,710000,2,3,101,"834,138"
Dole St APT 105,Honolulu,HI,21.300165,-157.83112,350000,1,1,59,"834,138"
Ala Wai Blvd APT 6B,Honolulu,HI,21.285759,-157.8309,595000,2,1,97,"834,138"
Ala Moana Blvd APT 10C,Honolulu,HI,21.28554,-157.83525,899000,2,2,128,"834,138"
Keeaumoku St #3703,Honolulu,HI,21.293802,-157.8418,838000,1,1,54,"834,138"
Ohua Ave #3701,Honolulu,HI,21.27477,-157.82108,638000,1,1,56,"834,138"
Tusitala St APT 705,Honolulu,HI,21.277178,-157.82178,165000,1,1,60,"834,138"
Ala Wai Blvd APT 701,Honolulu,HI,21.279745,-157.82419,525000,2,2,67,"834,138"
Keeaumoku St APT 406,Honolulu,HI,21.302103,-157.83914,489000,3,2,109,"834,138"
Kaiolu St APT 401,Honolulu,HI,21.28273,-157.8288,599500,2,1,74,"834,138"
Kaheka St APT 705,Honolulu,HI,21.293419,-157.83965,495000,2,2,75,"834,138"
Namahana St,Honolulu,HI,21.285122,-157.83047,890000,2,2,105,"834,138"
Lewers St APT 903,Honolulu,HI,21.282513,-157.82779,585000,2,2,86,"834,138"
Atkinson Dr APT 1305,Honolulu,HI,21.28949,-157.83926,559000,2,2,74,"834,138"
Kuhio Ave APT 3601,Honolulu,HI,21.280655,-157.82732,370000,2,2,98,"834,138"
Ala Moana Blvd APT 21D,Honolulu,HI,21.28554,-157.83525,420000,1,1,76,"834,138"
Ala Moana Blvd APT 1408,Honolulu,HI,21.285042,-157.83803,250000,1,1,63,"834,138"
Hobron Ln APT 2207,Honolulu,HI,21.287024,-157.83669,489750,1,1,50,"834,138"
Ala Moana Blvd APT 803B,Honolulu,HI,21.286045,-157.8388,128000,1,1,55,"834,138"
Isenberg St APT 8G,Honolulu,HI,21.291061,-157.82692,395000,1,1,51,"834,138"
Hobron Ln APT 3008,Honolulu,HI,21.28688,-157.83582,265000,1,1,54,"834,138"
Ala Moana Blvd #2202,Honolulu,HI,21.288622,-157.84038,638000,1,1,73,"834,138"
SE Brookwood Ave UNIT 210,Hillsboro,OR,45.50226,-122.92931,255000,2,2,80,"108,026"
Kapiolani Blvd APT 2208,Honolulu,HI,21.286787,-157.82364,588000,2,2,88,"834,138"
Kamoku St APT 2408,Honolulu,HI,21.286007,-157.82375,798000,2,2,101,"834,138"
Kuilei St APT A112,Honolulu,HI,21.290081,-157.82176,399000,2,1,63,"834,138"
E 9th St APT 11,The Dalles,OR,45.595497,-121.16722,184000,2,2,88,"15,518"
Ala Moana Blvd APT 811,Honolulu,HI,21.285042,-157.83803,249500,1,1,67,"834,138"
Kewalo St APT 415,Honolulu,HI,21.303343,-157.83928,625000,2,2,90,"834,138"
Kalakaua Ave APT 905,Honolulu,HI,21.299181,-157.83699,579000,2,1,65,"834,138"
Kapiolani Blvd APT 417,Honolulu,HI,21.287416,-157.82834,625000,2,2,86,"834,138"
S King St APT 201,Honolulu,HI,21.289658,-157.81808,479000,2,2,89,"834,138"
Kuilei St APT T,Honolulu,HI,21.291094,-157.82199,320000,1,1,52,"834,138"
Olohana St APT 802,Honolulu,HI,21.283524,-157.83005,875000,2,2,95,"834,138"
Kuilei St APT A71,Honolulu,HI,21.290081,-157.82176,400000,2,1,67,"834,138"
Date St APT 204,Honolulu,HI,21.28697,-157.8225,440000,1,1,54,"834,138"
Ala Moana Blvd APT 1299,Honolulu,HI,21.285513,-157.83952,599000,1,1,69,"834,138"
Kamoku St APT 2402,Honolulu,HI,21.286007,-157.82375,778000,2,2,107,"834,138"
Kalakaua Ave APT 1504,Honolulu,HI,21.298552,-157.83647,639900,2,2,69,"834,138"
Kapiolani Blvd #4301,Honolulu,HI,21.291681,-157.83958,949000,2,2,83,"834,138"
Punahou St APT 401,Honolulu,HI,21.30257,-157.83238,399000,2,1,55,"834,138"
Ala Moana Blvd APT 1719,Honolulu,HI,21.285042,-157.83803,315000,1,1,67,"834,138"
Kuhio Ave APT 802,Honolulu,HI,21.282524,-157.82921,479000,1,1,54,"834,138"
Atkinson Dr APT 1401,Honolulu,HI,21.28949,-157.83926,410000,1,1,60,"834,138"
Ala Moana Blvd APT 2907,Honolulu,HI,21.288778,-157.84012,899000,2,2,111,"834,138"
Kewalo St APT 707,Honolulu,HI,21.303696,-157.83899,398000,1,2,74,"834,138"
Niu St PENTHOUSE 104,Honolulu,HI,21.286982,-157.83275,870000,2,2,107,"834,138"
Kamoku St APT 2203,Honolulu,HI,21.286007,-157.82375,669000,1,1,74,"834,138"
Hobron Ln APT 2701,Honolulu,HI,21.286045,-157.83736,677000,2,2,85,"834,138"
Date St APT 1106,Honolulu,HI,21.286657,-157.82283,640000,2,2,93,"834,138"
Date St APT 201,Honolulu,HI,21.28697,-157.8225,440000,1,1,54,"834,138"
Kamoku St APT 3906,Honolulu,HI,21.286007,-157.82375,850000,3,2,110,"834,138"
Ala Moana Blvd PENTHOUSE 2102,Honolulu,HI,21.2852,-157.83589,380000,2,2,128,"834,138"
Date St APT 1802,Honolulu,HI,21.286657,-157.82283,455000,1,1,56,"834,138"
NE 73rd Ave,Hillsboro,OR,45.529724,-122.90409,499900,3,2,133,"108,026"
Ala Moana Blvd APT 32D,Honolulu,HI,21.28554,-157.83525,480000,1,1,84,"834,138"
Kapiolani Blvd APT 1012,Honolulu,HI,21.292166,-157.84068,998000,1,1,71,"834,138"
Kapiolani Blvd APT 1801,Honolulu,HI,21.291458,-157.83942,410000,2,2,74,"834,138"
NE 73rd Ave,Hillsboro,OR,45.53016,-122.90391,375000,2,2,118,"108,026"
Ala Wai Blvd APT 1008,Honolulu,HI,21.287596,-157.83286,104500,2,1,63,"834,138"
Mott Smith Dr APT 2101,Honolulu,HI,21.308634,-157.83736,549000,2,2,88,"834,138"
Kuilei St APT 2206,Honolulu,HI,21.289356,-157.8205,329999,1,1,50,"834,138"
Kapiolani Blvd APT 2800,Honolulu,HI,21.286787,-157.82364,450000,2,2,63,"834,138"
Kapiolani Blvd APT 2113,Honolulu,HI,21.287416,-157.82834,660000,2,2,84,"834,138"
NE Horizon Loop UNIT 407,Hillsboro,OR,45.533905,-122.914604,299900,1,1,70,"108,026"
Wilder Ave APT 2203,Honolulu,HI,21.305851,-157.8394,429000,1,1,58,"834,138"
Kapiolani Blvd APT 3903,Honolulu,HI,21.286787,-157.82364,825000,3,2,137,"834,138"
Kahoaloha Ln #I109,Honolulu,HI,21.290152,-157.82063,399000,2,1,62,"834,138"
Date St APT 706,Honolulu,HI,21.286657,-157.82283,655000,2,2,93,"834,138"
Kapiolani Blvd APT 703,Honolulu,HI,21.287416,-157.82834,575000,2,2,82,"834,138"
Ala Wai Blvd APT 401,Honolulu,HI,21.28382,-157.82877,525000,1,1,69,"834,138"
Date St APT 4207,Honolulu,HI,21.286657,-157.82283,415000,1,1,56,"834,138"
Kapiolani Blvd APT 708,Honolulu,HI,21.286787,-157.82364,515000,2,2,99,"834,138"
University Ave APT A204,Honolulu,HI,21.291422,-157.82283,339000,2,1,53,"834,138"
Date St APT 1801,Honolulu,HI,21.286657,-157.82283,588000,2,2,93,"834,138"
Kalaimoku Street Tower #E1710-1,Honolulu,HI,21.282639,-157.83038,985000,1,1,62,"834,138"
Kalakaua Ave APT 1103,Honolulu,HI,21.299156,-157.83696,639000,2,1,69,"834,138"
Kalakaua Ave APT 1506,Honolulu,HI,21.299181,-157.83699,645000,2,1,66,"834,138"
Alexander St APT 506,Honolulu,HI,21.298937,-157.83186,525000,2,2,85,"834,138"
University Ave APT 1416,Honolulu,HI,21.286898,-157.82735,680000,3,3,143,"834,138"
NE Stonewater St,Hillsboro,OR,45.53071,-122.90293,510000,3,2,129,"108,026"
Ala Wai Blvd APT 2209,Honolulu,HI,21.287926,-157.83546,810000,2,2,86,"834,138"
Atkinson Dr APT 1102,Honolulu,HI,21.289783,-157.83812,435000,1,1,55,"834,138"
Ala Moana Blvd APT 1201,Honolulu,HI,21.285042,-157.83803,468000,2,2,105,"834,138"
Liholiho St APT 610,Honolulu,HI,21.307016,-157.83812,249000,1,1,51,"834,138"
Liholiho St APT 801,Honolulu,HI,21.307018,-157.83813,395000,1,1,51,"834,138"
Ala Moana Blvd APT 1210,Honolulu,HI,21.2852,-157.83589,315000,2,2,110,"834,138"
Kalakaua Ave APT 1003,Honolulu,HI,21.299181,-157.83699,598000,2,1,69,"834,138"
Kalakaua Ave APT 1203,Honolulu,HI,21.287563,-157.83466,968000,2,2,98,"834,138"
Kapiolani Blvd #4004,Honolulu,HI,21.291681,-157.83958,720000,1,1,67,"834,138"
Ala Moana Blvd APT 1501B,Honolulu,HI,21.286045,-157.8388,123000,1,1,55,"834,138"
Keoniana St APT 305,Honolulu,HI,21.285664,-157.83209,395000,1,1,61,"834,138"
Coolidge St APT 503,Honolulu,HI,21.2917,-157.82492,400000,1,1,51,"834,138"
Ala Moana Blvd APT 1611,Honolulu,HI,21.285042,-157.83803,489000,2,2,105,"834,138"
Ala Moana Blvd APT 1006,Honolulu,HI,21.2852,-157.83589,298000,2,2,110,"834,138"
Ala Wai Blvd APT 803,Honolulu,HI,21.28546,-157.83055,250000,2,2,83,"834,138"
Liholiho St APT 1908,Honolulu,HI,21.307016,-157.83812,250000,1,1,51,"834,138"
Kalakaua Ave APT 303,Honolulu,HI,21.299181,-157.83699,585000,2,1,69,"834,138"
Ala Moana Blvd #1209,Honolulu,HI,21.285023,-157.83658,499000,1,1,49,"834,138"
Hobron Ln APT 2409,Honolulu,HI,21.28688,-157.83582,298888,1,1,63,"834,138"
Makahiki Way APT 508,Honolulu,HI,21.291962,-157.8279,410000,1,1,55,"834,138"
Kaheka St APT 502,Honolulu,HI,21.293402,-157.83965,479000,2,2,82,"834,138"
Ena Rd APT 502A,Honolulu,HI,21.286247,-157.83545,95000,1,1,51,"834,138"
Ena Rd APT 806B,Honolulu,HI,21.28594,-157.8358,109000,2,1,79,"834,138"
Ala Wai Blvd APT 701,Honolulu,HI,21.28546,-157.83055,305000,2,2,91,"834,138"
Ala Moana Blvd APT 2111,Honolulu,HI,21.285042,-157.83803,645000,2,2,105,"834,138"
S Beretania St APT 15C,Honolulu,HI,21.297878,-157.83224,739000,3,3,140,"834,138"
Keeaumoku St #1204,Honolulu,HI,21.296406,-157.84093,673500,1,1,53,"834,138"
Keeaumoku St #1012,Honolulu,HI,21.296406,-157.84093,954000,2,2,91,"834,138"
Keeaumoku St #511,Honolulu,HI,21.296406,-157.84093,710000,1,1,70,"834,138"
NE Glisan St APT 38,Portland,OR,45.52717,-122.472916,210000,3,2,125,"2,072,553"
Hawthorne St APT 7,Forest Grove,OR,45.523167,-123.09842,310000,3,3,116,"24,847"
Makiki St APT 704,Honolulu,HI,21.304962,-157.83437,429000,2,1,68,"834,138"
Kalakaua Ave APT 1103,Honolulu,HI,21.287563,-157.83466,949000,2,2,98,"834,138"
Ala Wai Blvd APT 1005,Honolulu,HI,21.287596,-157.83286,162000,2,1,63,"834,138"
Kalakaua Ave APT 2601,Honolulu,HI,21.291344,-157.83557,207000,2,2,112,"834,138"
Kapiolani Blvd APT 1008,Honolulu,HI,21.287416,-157.82834,479000,2,2,86,"834,138"
Kalakaua Ave APT 1210,Honolulu,HI,21.287563,-157.83466,985000,2,2,88,"834,138"
SE Causey Cir,Happy Valley,OR,45.441917,-122.57627,249000,2,1,73,"22,049"
Kalakaua Ave APT 512,Honolulu,HI,21.291344,-157.83557,135000,2,2,86,"834,138"
Makiki St APT B102,Honolulu,HI,21.304728,-157.83461,345000,1,1,55,"834,138"
SE 104th Ct,Happy Valley,OR,45.434498,-122.55815,335000,2,3,111,"22,049"
Amana St APT 204,Honolulu,HI,21.294668,-157.84058,450000,2,2,72,"834,138"
Kalakaua Ave APT 1505,Honolulu,HI,21.299181,-157.83699,849900,2,1,65,"834,138"
Kalakaua Ave APT 1507,Honolulu,HI,21.299181,-157.83699,859000,1,1,72,"834,138"
SE 75th Ave,Milwaukie,OR,45.445686,-122.58578,460000,3,3,178,"21,086"
Ala Moana Blvd #201,Honolulu,HI,21.284664,-157.83945,790000,1,2,62,"834,138"
Kalakaua Ave #3003/3004,Honolulu,HI,21.291348,-157.83559,900000,2,4,211,"834,138"
Ena Rd APT 1206B,Honolulu,HI,21.285936,-157.83578,107000,2,1,96,"834,138"
Kanunu St APT 405,Honolulu,HI,21.294708,-157.83997,695000,3,2,125,"834,138"
Kaheka St APT 1502,Honolulu,HI,21.293419,-157.83965,499000,2,2,75,"834,138"
SE High Creek Rd,Happy Valley,OR,45.435356,-122.557304,434900,3,3,158,"22,049"
SE Crested Eagle Ln,Happy Valley,OR,45.43879,-122.55547,469900,2,2,177,"22,049"
Kuilei St APT 1203,Honolulu,HI,21.289352,-157.82051,365000,1,1,50,"834,138"
Kalaimoku St #1610,Honolulu,HI,21.282639,-157.83038,950000,1,1,62,"834,138"
Kalakaua Ave SUITE 204B,Honolulu,HI,21.291344,-157.83557,180000,1,1,51,"834,138"
Kalakaua Ave SUITE 202,Honolulu,HI,21.291344,-157.83557,275000,1,1,77,"834,138"
Ala Moana Blvd APT 3507,Honolulu,HI,21.288778,-157.84012,980000,2,2,143,"834,138"
Huna St #B106,Honolulu,HI,21.31979,-157.85641,439000,3,2,105,"834,138"
Kamoku St APT 604,Honolulu,HI,21.286007,-157.82375,338000,1,1,74,"834,138"
Craigside Pl APT 6A,Honolulu,HI,21.32228,-157.849,485600,2,1,77,"834,138"
Craigside Pl APT 5A,Honolulu,HI,21.322277,-157.84897,475000,2,1,77,"834,138"
Craigside Pl APT 7B,Honolulu,HI,21.322292,-157.84897,525000,2,1,77,"834,138"
Kapiolani Blvd PENTHOUSE 2,Honolulu,HI,21.288157,-157.82094,695000,3,2,136,"834,138"
Queen Emma St APT 1711,Honolulu,HI,21.310616,-157.85782,830000,2,2,97,"834,138"
