Code,NumberOfHouseholds,HouseholdMedianIncome,HouseholdMeanIncome,NumberOfFamilies,FamilyMedianIncome,FamilyMeanIncome,NonFamilyHousehold,NonFamilyHouseholdMediumIncome,NonFamilyHouseholdMeanIncome
99621,99,43250,50981,82,48750,56585,17,0,16806
99620,245,47844,46484,209,48219,45447,36,15000,35986
99615,3990,84104,93675,2766,96118,98768,1224,56970,74026
99614,96,36563,39739,79,40781,45659,17,0,11782
99613,154,88750,100442,114,92500,106672,40,56250,75858
99612,335,71875,75635,167,79583,79366,168,52258,64497
99611,5360,64157,84095,3239,89967,97022,2121,37074,59561
99610,774,73125,82002,444,85750,104860,330,40950,51057
99609,72,38750,46217,59,42188,50142,13,8125,11554
99607,55,41250,53698,43,58750,61188,12,13750,15000
99606,99,42321,58344,76,41667,59418,23,17188,35791
99605,62,0,89274,16,119583,104013,46,0,84148
99604,146,30938,42876,133,30469,38579,13,0,64469
99603,4243,66150,83219,2591,84184,98487,1652,48198,55565
99602,90,25833,39709,49,44792,52396,41,16250,17824
99591,29,64583,66807,15,88750,83427,14,45000,46621
99590,66,30000,37470,35,48750,49026,31,11458,18765
99589,33,0,59924,30,46250,65570,3,0,0
99588,463,76250,91725,316,101563,104017,147,58490,63538
99587,894,98026,119128,427,141645,152558,467,69663,76586
99586,151,51458,65781,75,97656,99220,76,14712,32222
99585,41,22188,32634,31,0,29687,10,30000,28440
99583,35,50417,58866,10,61500,74260,25,38125,48244
99581,275,43533,53418,202,40147,53984,73,48344,43162
99580,26,32917,40181,17,34375,48629,9,22083,24222
99579,7,93750,94943,4,0,0,3,0,0
99578,119,46875,61194,108,48750,64067,11,0,30145
99577,9649,111388,126943,7117,122186,142248,2532,67188,76609
99576,776,72857,84828,537,76250,87302,239,53750,62723
99575,20,0,30195,11,0,27609,9,0,33356
