address,city,state,postcode,latitude,longitude,bedroom_number,bathroom_number,square_meter,price,household_number,household_mean_income,families_number,family_mean_income,non_family_number,non_family_mean_income,population,20to24,25to34,35to44,45to54,55to59,60to64,65to74,75to84,median_age
Eagle Place Loop,Eagle River,AK,99577,61.30092,-149.50879,3,2,135,340000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Old Glenn Highway,Eagle River,AK,99577,61.331844,-149.5637,3,2,126,271500,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Falklands Drive,Eagle River,AK,99577,61.326828,-149.57849,2,3,141,300000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Eagle Place Loop,Eagle River,AK,99577,61.300945,-149.50879,3,2,137,355000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Hannah Jane Place,Eagle River,AK,99577,61.320084,-149.56805,4,3,145,315000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Fire Eagle Way,Eagle River,AK,99577,61.34539,-149.55745,3,2,142,249000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Trailhead Avenue,Eagle River,AK,99577,61.30028,-149.4945,4,4,215,365000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Eagle Place Loop,Eagle River,AK,99577,61.300945,-149.50879,3,2,135,287000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
River's Edge Lane,Eagle River,AK,99577,61.311108,-149.57239,2,3,134,249900,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Horseshoe Drive,Eagle River,AK,99577,61.33011,-149.5625,2,2,104,239900,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Driftwood Bay Drive,Eagle River,AK,99577,61.30016,-149.498,3,4,215,385000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Hunterwood Lane,Eagle River,AK,99577,61.344578,-149.55617,3,2,141,252000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
West Bering Street,Soldotna,AK,99669,60.48638,-151.08566,2,2,144,364900,6345,106461,4363,124460,1982,62200,17725,1090,1807,2221,2246,1248,1606,2015,647,41.6
Business Boulevard,Eagle River,AK,99577,61.327,-149.57596,1,1,51,149000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Fire Creek Trail Drive,Eagle River,AK,99577,61.345673,-149.55534,3,2,126,239000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
