address,city,state,postcode,latitude,longitude,bedroom_number,bathroom_number,square_meter,price,household_number,household_mean_income,families_number,family_mean_income,non_family_number,non_family_mean_income,population,20to24,25to34,35to44,45to54,55to59,60to64,65to74,75to84,median_age
South 284th Lane,Federal Way,WA,98003,47.347187,-122.308945,2,2,88,289000,18515,76753,10942,89003,7573,53131,50501,2898,8051,6253,5484,3212,3304,4645,1940,35.9
None,Federal Way,WA,98003,47.344036,-122.310394,3,2,103,305000,18515,76753,10942,89003,7573,53131,50501,2898,8051,6253,5484,3212,3304,4645,1940,35.9
South 284th Lane,Federal Way,WA,98003,47.34682,-122.30896,1,1,69,265000,18515,76753,10942,89003,7573,53131,50501,2898,8051,6253,5484,3212,3304,4645,1940,35.9
20th Avenue South,Federal Way,WA,98003,47.344666,-122.30822,2,2,88,262900,18515,76753,10942,89003,7573,53131,50501,2898,8051,6253,5484,3212,3304,4645,1940,35.9
Logan Avenue South,Renton,WA,98057,47.480595,-122.21012,1,1,58,200000,5711,80233,2256,94014,3455,69911,12351,759,2724,2043,1630,880,631,891,562,37.5
Northeast Victoria Street,Grants Pass,OR,97526,42.442005,-123.31513,2,2,81,169000,14783,67954,9685,77007,5098,45697,36166,1785,4242,4109,3952,2238,3466,5160,2588,45.6
116th Place Southeast,Kent,WA,98031,47.38864,-122.18344,5,3,260,650000,12646,96642,9618,103719,3028,62361,41464,2634,6949,5611,5317,3212,2470,2742,1201,35.6
81st Avenue Southeast,Mercer Island,WA,98040,47.5884,-122.23041,2,2,99,425000,10128,241738,7132,299491,2996,98645,25506,889,2088,3015,4306,2009,1655,2655,1411,45.5
76th Avenue Southeast,Mercer Island,WA,98040,47.58564,-122.23697,2,2,115,775000,10128,241738,7132,299491,2996,98645,25506,889,2088,3015,4306,2009,1655,2655,1411,45.5
79th Avenue Southeast,Mercer Island,WA,98040,47.58008,-122.233025,2,2,96,595000,10128,241738,7132,299491,2996,98645,25506,889,2088,3015,4306,2009,1655,2655,1411,45.5
76th Avenue Southeast,Mercer Island,WA,98040,47.58507,-122.23698,1,1,61,519000,10128,241738,7132,299491,2996,98645,25506,889,2088,3015,4306,2009,1655,2655,1411,45.5
Southwest Kinsington Court,Grants Pass,OR,97526,42.432426,-123.35847,2,3,141,314000,14783,67954,9685,77007,5098,45697,36166,1785,4242,4109,3952,2238,3466,5160,2588,45.6
Panorama Drive Southeast,Auburn,WA,98092,47.25522,-122.21612,2,3,160,494950,16799,116946,12503,128965,4296,73214,50845,3216,6791,8184,6590,2647,3279,3739,1301,35.9
Panorama Drive Southeast,Auburn,WA,98092,47.25522,-122.21612,3,3,164,550000,16799,116946,12503,128965,4296,73214,50845,3216,6791,8184,6590,2647,3279,3739,1301,35.9
60th Street Southeast,Auburn,WA,98092,47.254887,-122.21007,2,2,96,415000,16799,116946,12503,128965,4296,73214,50845,3216,6791,8184,6590,2647,3279,3739,1301,35.9
Panorama Drive Southeast,Auburn,WA,98092,47.25522,-122.21612,2,3,161,476000,16799,116946,12503,128965,4296,73214,50845,3216,6791,8184,6590,2647,3279,3739,1301,35.9
Auburn Way South,Auburn,WA,98092,47.287167,-122.18281,2,1,73,249000,16799,116946,12503,128965,4296,73214,50845,3216,6791,8184,6590,2647,3279,3739,1301,35.9
156th Avenue Northeast,Bellevue,WA,98007,47.61942,-122.13374,1,1,60,389995,11578,130345,7205,149755,4373,89055,28576,1371,8086,4284,3197,1314,810,1567,1051,33.3
142nd Place Southeast,Bellevue,WA,98007,47.583454,-122.151146,3,3,126,795000,11578,130345,7205,149755,4373,89055,28576,1371,8086,4284,3197,1314,810,1567,1051,33.3
Northeast 7th Place,Bellevue,WA,98007,47.61637,-122.15163,2,2,98,550000,11578,130345,7205,149755,4373,89055,28576,1371,8086,4284,3197,1314,810,1567,1051,33.3
Northeast 7th Place,Bellevue,WA,98007,47.616375,-122.151634,2,2,98,625000,11578,130345,7205,149755,4373,89055,28576,1371,8086,4284,3197,1314,810,1567,1051,33.3
143rd Avenue Northeast,Bellevue,WA,98007,47.616623,-122.15037,3,2,101,627000,11578,130345,7205,149755,4373,89055,28576,1371,8086,4284,3197,1314,810,1567,1051,33.3
Blue Moon Drive,Central Pt,OR,97502,42.37813,-122.9271,2,2,110,355000,11211,94996,8168,105760,3043,60995,28458,895,3624,3345,3484,2469,1996,3114,1755,42.9
226th Lane Northeast,Sammamish,WA,98074,47.61473,-122.03839,1,1,59,400000,9567,225217,8374,239763,1193,114295,30370,1062,2249,6198,5513,1740,1319,1650,525,38.4
240th Way Southeast,Sammamish,WA,98074,47.603306,-122.01873,2,2,91,485000,9567,225217,8374,239763,1193,114295,30370,1062,2249,6198,5513,1740,1319,1650,525,38.4
Southwest 16th Street,Redmond,OR,97756,44.2624,-121.184944,2,3,139,265000,15252,74345,10470,83535,4782,47586,42180,2114,5490,5798,5075,2870,3245,4592,2209,39.7
1st Lane Northeast,Duvall,WA,98019,47.733463,-121.9862,2,3,114,490000,4042,165136,3293,182471,749,86614,11290,564,1126,1987,2074,805,550,603,236,37.5
Harrington Place Northeast,Renton,WA,98056,47.502686,-122.18092,1,1,70,275000,14560,132379,9534,144237,5026,79950,36950,2109,6697,5495,4933,2391,2521,3009,1246,37.8
None,Renton,WA,98056,47.498245,-122.19233,2,1,74,315000,14560,132379,9534,144237,5026,79950,36950,2109,6697,5495,4933,2391,2521,3009,1246,37.8
Northeast 4th Street,Renton,WA,98056,47.48837,-122.18345,2,2,94,325000,14560,132379,9534,144237,5026,79950,36950,2109,6697,5495,4933,2391,2521,3009,1246,37.8
Sunset Boulevard Northeast,Renton,WA,98056,47.500782,-122.18732,2,1,83,275000,14560,132379,9534,144237,5026,79950,36950,2109,6697,5495,4933,2391,2521,3009,1246,37.8
Harrington Avenue Northeast,Renton,WA,98056,47.50121,-122.182144,2,1,96,280000,14560,132379,9534,144237,5026,79950,36950,2109,6697,5495,4933,2391,2521,3009,1246,37.8
Northeast 14th Place,Renton,WA,98056,47.505733,-122.16794,3,2,112,499000,14560,132379,9534,144237,5026,79950,36950,2109,6697,5495,4933,2391,2521,3009,1246,37.8
Northeast 13th Place,Bellevue,WA,98008,47.62141,-122.12412,2,1,95,449995,9125,174696,6561,197385,2564,106388,26091,1236,2921,3573,4075,1858,1469,2529,1121,43.8
Forest Street,Phoenix,OR,97535,42.271828,-122.8208,2,1,80,164500,2289,48036,1204,62882,1085,27893,4968,389,610,596,429,380,385,680,556,50.5
Lincoln Street,Eugene,OR,97401,44.0493,-123.097824,2,2,121,435000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
Rustic Place,Eugene,OR,97401,44.06651,-123.07087,2,3,126,388888,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
Otter Crest Drive,Otter Rock,OR,97369,44.75287,-124.063446,1,2,88,269900,67,104869,36,160575,31,40177,148,0,12,21,0,10,45,60,0,64.4
Otter Crest Drive,Otter Rock,OR,97369,44.751945,-124.06193,3,3,155,348000,67,104869,36,160575,31,40177,148,0,12,21,0,10,45,60,0,64.4
City View Street,Eugene,OR,97402,44.0454,-123.126785,2,2,103,239900,21782,59355,11828,70781,9954,40051,52725,4034,9969,7800,5298,3579,2931,4829,2245,36
Otter Crest Drive,Otter Rock,OR,97369,44.751945,-124.06193,1,2,88,250000,67,104869,36,160575,31,40177,148,0,12,21,0,10,45,60,0,64.4
Harbor Street,Florence,OR,97439,43.969032,-124.10265,3,2,151,649900,7552,69538,4333,80284,3219,52174,15419,422,1165,1050,1808,975,1400,3474,2106,60.1
Olive Street,Eugene,OR,97401,44.044205,-123.09382,2,2,136,699000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
Lincoln Street,Eugene,OR,97401,44.049244,-123.09759,3,2,134,475000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
Lake Isle Drive,Eugene,OR,97401,44.086544,-123.10952,2,2,91,290000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
West 17th Avenue,Eugene,OR,97401,44.04132,-123.0938,2,1,89,395000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
Lincoln Street,Eugene,OR,97401,44.04483,-123.096825,1,1,53,185000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
Rustic Place,Eugene,OR,97401,44.06651,-123.07087,2,2,100,405000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
Wimbledon Court,Eugene,OR,97401,44.08003,-123.1126,2,2,104,350000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
East 16th Avenue,Eugene,OR,97401,44.04204,-123.09031,1,1,88,525000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
East 16th Avenue,Eugene,OR,97401,44.04204,-123.09031,1,1,71,420000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
East 16th Avenue,Eugene,OR,97401,44.04204,-123.09031,1,1,98,540000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
East 16th Avenue,Eugene,OR,97401,44.04204,-123.09031,1,1,94,520000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
East 16th Avenue,Eugene,OR,97401,44.04204,-123.09031,1,1,103,495000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
East 16th Avenue,Eugene,OR,97401,44.04204,-123.09031,1,2,102,525000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
East 16th Avenue,Eugene,OR,97401,44.04204,-123.09031,3,2,152,790000,21770,65032,8088,98435,13682,43494,47867,11712,7741,5119,3460,1864,2087,4369,2134,29.4
Arch Lane,Brookings,OR,97415,42.071476,-124.30636,1,1,90,269000,6462,71205,3882,81223,2580,54330,14055,399,1356,1198,1302,1151,1516,2748,1441,57.3
Poplar Drive,Medford,OR,97504,42.349155,-122.86949,2,2,94,175000,19656,83029,12647,100975,7009,46893,49370,2098,5963,6343,5225,2797,3256,5784,3173,41
Poplar Drive,Medford,OR,97504,42.349155,-122.86949,1,1,58,135000,19656,83029,12647,100975,7009,46893,49370,2098,5963,6343,5225,2797,3256,5784,3173,41
Southeast Jefferson Street,Albany,OR,97322,44.62052,-123.09493,3,2,97,249900,13743,71799,9191,82710,4552,46093,37361,2300,5577,5444,3918,2123,1707,3258,1586,35.4
Easy Street,Brookings,OR,97415,42.058563,-124.28916,3,3,159,335000,6462,71205,3882,81223,2580,54330,14055,399,1356,1198,1302,1151,1516,2748,1441,57.3
32nd Avenue Southeast,Albany,OR,97322,44.611004,-123.09446,2,2,111,219000,13743,71799,9191,82710,4552,46093,37361,2300,5577,5444,3918,2123,1707,3258,1586,35.4
Stevens Street,Medford,OR,97504,42.335228,-122.865265,2,1,86,140000,19656,83029,12647,100975,7009,46893,49370,2098,5963,6343,5225,2797,3256,5784,3173,41
Ashford Way,Medford,OR,97504,42.31227,-122.81395,2,2,114,298000,19656,83029,12647,100975,7009,46893,49370,2098,5963,6343,5225,2797,3256,5784,3173,41
Stevens Street,Medford,OR,97504,42.335228,-122.865265,2,1,89,165000,19656,83029,12647,100975,7009,46893,49370,2098,5963,6343,5225,2797,3256,5784,3173,41
Crater Lake Avenue,Medford,OR,97504,42.34592,-122.85704,2,2,84,175000,19656,83029,12647,100975,7009,46893,49370,2098,5963,6343,5225,2797,3256,5784,3173,41
Crater Lake Avenue,Medford,OR,97504,42.34592,-122.85704,3,2,103,195000,19656,83029,12647,100975,7009,46893,49370,2098,5963,6343,5225,2797,3256,5784,3173,41
Medford Heights Lane,Medford,OR,97504,42.325603,-122.856514,3,3,222,400000,19656,83029,12647,100975,7009,46893,49370,2098,5963,6343,5225,2797,3256,5784,3173,41
60th Avenue,Sweet Home,OR,97386,44.409172,-122.6633,3,3,173,550000,5878,63773,4082,74651,1796,36282,14760,484,1852,1602,1586,1181,1445,2117,857,46.5
60th Avenue,Sweet Home,OR,97386,44.408993,-122.664154,2,1,99,450000,5878,63773,4082,74651,1796,36282,14760,484,1852,1602,1586,1181,1445,2117,857,46.5
Newton Place,Philomath,OR,97370,44.541836,-123.34334,2,1,68,219900,3314,100171,2462,113137,852,58794,9378,600,1122,1052,1140,822,643,1496,275,42.8
Beach Street,Ashland,OR,97520,42.18664,-122.701485,1,1,91,414896,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
Bismark Street,Klamath Falls,OR,97601,42.24571,-121.810455,3,2,174,340000,10107,63135,5699,77465,4408,41721,22967,1672,2732,2842,2835,1314,1499,3071,1300,40.3
Southwest Grand Oaks Drive,Corvallis,OR,97333,44.558544,-123.324936,2,1,89,299000,9775,76451,4725,106627,5050,45542,22938,5104,3857,2184,1752,1338,953,2332,902,29.5
Iowa Street,Ashland,OR,97520,42.190002,-122.70699,2,2,127,400000,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
East Main Street,Ashland,OR,97520,42.19671,-122.71448,1,1,66,398000,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
None,Ashland,OR,97520,42.208954,-122.699844,2,2,100,325000,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
Crenshaw Drive North,Keizer,OR,97303,45.012466,-123.03686,3,3,194,485000,15214,78657,10289,86029,4925,58005,41101,2827,5533,5831,4221,2434,2622,3492,1572,36
Boyer Court,Brookings,OR,97415,42.05974,-124.2943,3,3,158,425000,6462,71205,3882,81223,2580,54330,14055,399,1356,1198,1302,1151,1516,2748,1441,57.3
Island Drive,Lincoln City,OR,97388,44.885216,-124.023384,2,3,161,525000,460,97830,248,77955,212,121081,717,0,158,0,52,25,38,219,99,63.5
Boulder Creek Lane,Ashland,OR,97520,42.207836,-122.7003,3,2,130,485000,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
Mountain Meadows Circle,Ashland,OR,97520,42.207882,-122.69927,3,2,152,476900,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
Fair Oaks Avenue,Ashland,OR,97520,42.209282,-122.70189,2,2,83,370000,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
Van Ness Avenue,Ashland,OR,97520,42.202984,-122.71745,2,2,105,349900,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
Plum Ridge Drive,Ashland,OR,97520,42.20771,-122.70169,2,2,139,565000,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
Mountain Meadows Circle,Ashland,OR,97520,42.207916,-122.699036,2,2,128,393500,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
Mountain Meadows Circle,Ashland,OR,97520,42.207874,-122.69936,2,2,120,375900,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
North Mountain Avenue,Ashland,OR,97520,42.19469,-122.698814,3,3,142,385000,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
Karen Way Northwest,Salem,OR,97304,44.950394,-123.05837,2,2,136,335000,12593,100927,8517,111298,4076,74735,33846,1773,3712,4992,3997,1564,2170,3776,1975,39.2
Mountain Meadows Circle,Ashland,OR,97520,42.207855,-122.69958,2,2,153,429000,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
Mountain Meadows Circle,Ashland,OR,97520,42.207962,-122.69841,1,1,68,205000,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
Mountain Meadows Circle,Ashland,OR,97520,42.207863,-122.69945,2,2,125,385000,11717,91888,5979,127474,5738,49848,26633,2202,2554,2734,3227,1749,2444,4992,1419,49.2
Chiefs Court Northeast,Salem,OR,97305,44.970375,-122.979774,2,2,82,225000,14176,67318,10340,72218,3836,45625,43869,4505,6892,5072,4886,2060,2086,3616,1337,30.9
Covington Street Northeast,Salem,OR,97305,44.981384,-122.98955,3,2,123,239900,14176,67318,10340,72218,3836,45625,43869,4505,6892,5072,4886,2060,2086,3616,1337,30.9
Lancaster Drive Northeast,Salem,OR,97305,44.992943,-122.98269,2,2,86,205000,14176,67318,10340,72218,3836,45625,43869,4505,6892,5072,4886,2060,2086,3616,1337,30.9
21st Street Northeast,Salem,OR,97301,44.936367,-123.013756,2,2,148,890000,19310,58127,11189,67411,8121,41577,56636,4228,10313,7572,6577,2502,3230,4085,1695,33.1
Northeast Irving Street,Portland,OR,97220,45.527725,-122.56216,2,1,71,295000,11615,69069,6346,83754,5269,49596,28307,1559,4831,4920,3972,1627,1633,3106,843,40.1
Southeast Stark Street,Portland,OR,97233,45.519535,-122.53168,2,2,93,210000,13657,58121,8879,62391,4778,43132,38497,2310,6929,5734,4609,2696,2090,2478,1105,35.3
Northeast 146th Avenue,Portland,OR,97230,45.52436,-122.514366,2,2,72,195000,15326,76745,9288,88416,6038,53710,41563,2346,6303,5962,4821,2925,2696,3965,2145,39.5
Northeast Sacramento Street,Portland,OR,97230,45.54187,-122.5064,2,2,124,295000,15326,76745,9288,88416,6038,53710,41563,2346,6303,5962,4821,2925,2696,3965,2145,39.5
Northeast 100th Avenue,Portland,OR,97220,45.52552,-122.56041,2,1,72,245000,11615,69069,6346,83754,5269,49596,28307,1559,4831,4920,3972,1627,1633,3106,843,40.1
Northeast Sacramento Street,Portland,OR,97230,45.541264,-122.507904,2,2,95,265000,15326,76745,9288,88416,6038,53710,41563,2346,6303,5962,4821,2925,2696,3965,2145,39.5
Northeast Sacramento Street,Portland,OR,97230,45.54108,-122.50962,2,2,94,269000,15326,76745,9288,88416,6038,53710,41563,2346,6303,5962,4821,2925,2696,3965,2145,39.5
Northeast Knott Street,Portland,OR,97230,45.541374,-122.50258,2,2,135,375000,15326,76745,9288,88416,6038,53710,41563,2346,6303,5962,4821,2925,2696,3965,2145,39.5
Northeast 143rd Avenue,Portland,OR,97230,45.522884,-122.51607,4,2,111,429900,15326,76745,9288,88416,6038,53710,41563,2346,6303,5962,4821,2925,2696,3965,2145,39.5
Northeast 143rd Avenue,Portland,OR,97230,45.522884,-122.51607,3,2,80,375900,15326,76745,9288,88416,6038,53710,41563,2346,6303,5962,4821,2925,2696,3965,2145,39.5
Southeast 148th Avenue,Portland,OR,97233,45.51792,-122.51145,2,1,81,205000,13657,58121,8879,62391,4778,43132,38497,2310,6929,5734,4609,2696,2090,2478,1105,35.3
Northeast 100th Avenue,Portland,OR,97220,45.52552,-122.56041,2,1,75,245000,11615,69069,6346,83754,5269,49596,28307,1559,4831,4920,3972,1627,1633,3106,843,40.1
Northeast 125th Place,Portland,OR,97230,45.55203,-122.53423,3,2,139,340000,15326,76745,9288,88416,6038,53710,41563,2346,6303,5962,4821,2925,2696,3965,2145,39.5
Northeast Rose Parkway,Portland,OR,97230,45.545372,-122.507355,2,2,152,315000,15326,76745,9288,88416,6038,53710,41563,2346,6303,5962,4821,2925,2696,3965,2145,39.5
Northeast Knott Street,Portland,OR,97230,45.541367,-122.50347,2,1,136,364000,15326,76745,9288,88416,6038,53710,41563,2346,6303,5962,4821,2925,2696,3965,2145,39.5
Southeast 126th Avenue,Portland,OR,97233,45.52045,-122.53433,2,2,70,177665,13657,58121,8879,62391,4778,43132,38497,2310,6929,5734,4609,2696,2090,2478,1105,35.3
Northeast Sacramento Street,Portland,OR,97230,45.541916,-122.508194,2,2,105,269000,15326,76745,9288,88416,6038,53710,41563,2346,6303,5962,4821,2925,2696,3965,2145,39.5
Northeast Beech Street,Portland,OR,97230,45.55058,-122.50167,2,2,86,219000,15326,76745,9288,88416,6038,53710,41563,2346,6303,5962,4821,2925,2696,3965,2145,39.5
Southwest 1st Avenue,Portland,OR,97201,45.50695,-122.67918,1,1,96,289000,9310,101606,2389,197978,6921,68176,17015,2401,3699,2192,1480,836,822,1483,1067,32.2
Northwest Johnson Street,Portland,OR,97209,45.52852,-122.68215,1,1,70,399000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
None,Portland,OR,97209,45.52994,-122.6742,1,1,68,229000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Southwest Market Street Drive,Portland,OR,97201,45.517193,-122.695816,2,1,104,519000,9310,101606,2389,197978,6921,68176,17015,2401,3699,2192,1480,836,822,1483,1067,32.2
Northwest 25th Avenue,Portland,OR,97210,45.530994,-122.702484,4,3,212,775000,6325,133214,2389,224310,3936,75430,11410,652,3595,1722,884,777,625,1101,431,34.9
Northwest Lovejoy Street,Portland,OR,97209,45.52966,-122.68608,1,1,95,530000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Northwest Johnson Street,Portland,OR,97209,45.52872,-122.69141,1,1,59,300000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
West Burnside Street,Portland,OR,97209,45.52291,-122.69092,1,1,68,315000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Northwest Thurman Street,Portland,OR,97210,45.535587,-122.703766,2,1,88,515000,6325,133214,2389,224310,3936,75430,11410,652,3595,1722,884,777,625,1101,431,34.9
Northwest Naito Parkway,Portland,OR,97209,45.528618,-122.6726,1,1,67,259000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
None,Portland,OR,97209,45.53297,-122.67843,2,2,133,987000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Northeast 87th Avenue,Portland,OR,97220,45.52854,-122.572975,3,2,116,290000,11615,69069,6346,83754,5269,49596,28307,1559,4831,4920,3972,1627,1633,3106,843,40.1
Northeast Hassalo Street,Portland,OR,97220,45.53074,-122.573105,3,1,97,255000,11615,69069,6346,83754,5269,49596,28307,1559,4831,4920,3972,1627,1633,3106,843,40.1
Northwest 9th Avenue,Portland,OR,97209,45.532093,-122.68093,1,1,87,465000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
North Killingsworth Street,Portland,OR,97217,45.563137,-122.681496,1,1,59,329900,14838,103943,7550,117395,7288,85843,35049,1719,8469,7167,4857,1698,1763,2979,916,37.7
Northwest Overton Street,Portland,OR,97209,45.532482,-122.68145,1,1,85,559800,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Northwest 11th Avenue,Portland,OR,97209,45.530357,-122.682816,1,1,56,325000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
West Burnside Street,Portland,OR,97209,45.52291,-122.69092,1,1,67,300000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Northwest Naito Parkway,Portland,OR,97209,45.528618,-122.6726,1,1,76,299900,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Southwest 1st Avenue,Portland,OR,97201,45.50711,-122.679565,1,1,115,385000,9310,101606,2389,197978,6921,68176,17015,2401,3699,2192,1480,836,822,1483,1067,32.2
Northwest Quimby Street,Portland,OR,97209,45.533512,-122.68322,1,1,102,634500,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Northwest Couch Street,Portland,OR,97209,45.523922,-122.68132,1,2,95,550000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Northwest 17th Avenue,Portland,OR,97209,45.52518,-122.68814,1,1,85,295000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Northwest Marshall Street,Portland,OR,97209,45.531002,-122.68291,1,1,80,450000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Southwest Meade Street,Portland,OR,97201,45.50312,-122.67821,2,4,123,499900,9310,101606,2389,197978,6921,68176,17015,2401,3699,2192,1480,836,822,1483,1067,32.2
Northwest 10th Avenue,Portland,OR,97209,45.525604,-122.68089,1,1,83,425000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Northwest 10th Avenue,Portland,OR,97209,45.525604,-122.68089,1,1,83,439900,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Northwest 15th Avenue,Portland,OR,97209,45.529144,-122.68616,1,1,94,429000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Northwest Flanders Street,Portland,OR,97209,45.525898,-122.68342,1,1,69,395500,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Southwest Main Street,Portland,OR,97205,45.51686,-122.68478,2,2,127,850000,5286,79657,1091,167165,4195,56489,8309,682,1969,1137,1095,507,646,1009,395,42.1
Southwest Columbia Street,Portland,OR,97201,45.51563,-122.68617,1,1,55,265000,9310,101606,2389,197978,6921,68176,17015,2401,3699,2192,1480,836,822,1483,1067,32.2
North Holman Street,Portland,OR,97217,45.56829,-122.682846,2,2,105,375000,14838,103943,7550,117395,7288,85843,35049,1719,8469,7167,4857,1698,1763,2979,916,37.7
None,Portland,OR,97201,45.50849,-122.67326,1,1,96,499900,9310,101606,2389,197978,6921,68176,17015,2401,3699,2192,1480,836,822,1483,1067,32.2
Northwest Johnson Street,Portland,OR,97209,45.528313,-122.69411,1,1,55,325000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
West Burnside Street,Portland,OR,97209,45.52291,-122.69092,2,2,110,539900,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Northwest Couch Street,Portland,OR,97209,45.523922,-122.68132,1,2,89,500000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Southwest 1st Avenue,Portland,OR,97201,45.506763,-122.6794,3,2,174,525000,9310,101606,2389,197978,6921,68176,17015,2401,3699,2192,1480,836,822,1483,1067,32.2
Northwest Irving Street,Portland,OR,97210,45.527912,-122.69523,1,1,71,325000,6325,133214,2389,224310,3936,75430,11410,652,3595,1722,884,777,625,1101,431,34.9
Northwest Glisan Street,Portland,OR,97209,45.52687,-122.68107,2,2,139,985000,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Southwest King Avenue,Portland,OR,97205,45.52278,-122.695625,2,1,87,339000,5286,79657,1091,167165,4195,56489,8309,682,1969,1137,1095,507,646,1009,395,42.1
North Montana Avenue,Portland,OR,97217,45.569164,-122.67993,2,2,95,415000,14838,103943,7550,117395,7288,85843,35049,1719,8469,7167,4857,1698,1763,2979,916,37.7
Northwest Naito Parkway,Portland,OR,97209,45.532978,-122.67891,1,2,104,469900,13633,100830,2979,182961,10654,77665,19632,1380,5300,4192,2590,1305,1138,2057,647,39.3
Cormorant Loop,Klamath Falls,OR,97601,42.27392,-121.87909,3,4,180,400000,10107,63135,5699,77465,4408,41721,22967,1672,2732,2842,2835,1314,1499,3071,1300,40.3
